id,name,href,bg,avatar,fictious,note,Time_ZH,location,lat,lng,gender,description,reference
183,___,http://pvp.qq.com/web201605/herodetail/183.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/183/183-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/183/183.jpg,____,____,____,_____,37.990832,23.7033198,F,_______,
178,__,http://pvp.qq.com/web201605/herodetail/178.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/178/178-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/178/178.jpg,____,________________________________________________________________(_____)___,__,_______,32.0423212,105.0934662,M,____,
177,____,http://pvp.qq.com/web201605/herodetail/177.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/177/177-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/177/177.jpg,____,1206______________________________________Ò____Ó_____________ [9][10]________,__,____________________,48.741566,109.8304,M,_______,http://blog.sina.com.cn/s/blog_48eb57670102e2zm.html
175,__,http://pvp.qq.com/web201605/herodetail/175.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/175/175-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/175/175.jpg,____,__________________________________________________,__,______,34.019577,108.6126233,M,_______,
174,__,http://pvp.qq.com/web201605/herodetail/174.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/174/174-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/174/174.jpg,____,_____________________,__,___________,33.320701,117.5538603,F,_________,
173,___,http://pvp.qq.com/web201605/herodetail/173.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/173/173-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/173/173.jpg,____,__________________,_,__________,37.927479,102.5664686,M,_____,
171,__,http://pvp.qq.com/web201605/herodetail/171.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/171/171-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/171/171.jpg,____,___________________,__,____,39.4791451,115.8559377,M,_____,
170,__,http://pvp.qq.com/web201605/herodetail/170.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/170/170-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/170/170.jpg,____,_________________________________,__,___________,39.4791451,115.8559378,M,_______,
169,__,http://pvp.qq.com/web201605/herodetail/169.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/169/169-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/169/169.jpg,____,____________________________[2]  _____________,__,_______,34.4129407,115.5074969,M,_______,
168,__,http://pvp.qq.com/web201605/herodetail/168.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/168/168-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/168/168.jpg,____,__________________________________________________________________________Ò_____Ó___Ò__Ó_,__,_____________,42.9263865,89.5162013,M,_____________,
167,___,http://pvp.qq.com/web201605/herodetail/167.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/167/167-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/167/167.jpg,____,___,__,_______________,34.6666861,119.210003,M,_________,
166,__,http://pvp.qq.com/web201605/herodetail/166.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/166/166-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/166/166.jpg,____,___,____,___,51.528308,-0.3817805,M,__________,
163,___,http://pvp.qq.com/web201605/herodetail/163.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/163/163-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/163/163.jpg,____,_________(______)______,____,__________,35.2458092,135.5488953,M,________,
162,____,http://pvp.qq.com/web201605/herodetail/162.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/162/162-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/162/162.jpg,____,______________________________,____,________,43.4156443,140.3326038,F,________,
157,____,http://pvp.qq.com/web201605/herodetail/157.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/157/157-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/157/157.jpg,____,___,-,_,35.6691074,139.6012947,F,________,
156,__,http://pvp.qq.com/web201605/herodetail/156.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/156/156-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/156/156.jpg,____,______________,__,___________,33.9066557,112.73247,M,_____,
154,___,http://pvp.qq.com/web201605/herodetail/154.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/154/154-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/154/154.jpg,____,______Ò___Ó___Ò_____Ó___Ò___Ó____________________________________,___,______,34.117658,115.7900763,F,_________,
153,___,http://pvp.qq.com/web201605/herodetail/153.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/153/153-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/153/153.jpg,____,________________________________________________________,___,______,36.6070008,114.3429464,M,______,
152,___,http://pvp.qq.com/web201605/herodetail/152.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/152/152-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/152/152.jpg,____,____________________________________,__,_______,47.8916288,106.8318322,F,_____,
150,__,http://pvp.qq.com/web201605/herodetail/150.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/150/150-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/150/150.jpg,____,____________________,__,_____,33.6324008,118.6846758,M,_____,
149,__,http://pvp.qq.com/web201605/herodetail/149.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/149/149-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/149/149.jpg,____,_______,__,____________,34.6984832,116.5851059,M,______,
148,___,http://pvp.qq.com/web201605/herodetail/148.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/148/148-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/148/148.jpg,____,___72____________________,__,____________,34.3667562,107.0864843,M,_______,
146,__,http://pvp.qq.com/web201605/herodetail/146.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/146/146-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/146/146.jpg,____,___,__,_,34.4129407,115.5074969,F,_____,
144,___,http://pvp.qq.com/web201605/herodetail/144.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/144/144-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/144/144.jpg,____,__________________,__,______________,35.9738235,116.2166884,M,______,
142,___,http://pvp.qq.com/web201605/herodetail/142.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/142/142-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/142/142.jpg,____,____,__,_,51.528308,-0.3817805,F,_____,
141,__,http://pvp.qq.com/web201605/herodetail/141.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/141/141-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/141/141.jpg,____,2011_4_28____________________Ò__Ó_Ò____Ó_78_____________________________________,__,_______,35.374025,103.8454633,F,_____,
140,__,http://pvp.qq.com/web201605/herodetail/140.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/140/140-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/140/140.jpg,____,___160~162__220__[1]__________________________,__,__________________,35.0314925,110.9389098,M,_____,
139,___,http://pvp.qq.com/web201605/herodetail/139.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/139/139-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/139/139.jpg,____,__,____,______,35.5961112,116.9888847,M,______,
136,___,http://pvp.qq.com/web201605/herodetail/136.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/136/136-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/136/136.jpg,____,______,_,_______,37.4261323,111.7808915,F,______,
135,__,http://pvp.qq.com/web201605/herodetail/135.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/135/135-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/135/135.jpg,____,____________,__,____________,33.948201,118.2228186,M,_____,
134,__,http://pvp.qq.com/web201605/herodetail/134.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/134/134-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/134/134.jpg,____,__________________________________________[4]___________________________,___,________________,23.113628,113.2447878,M,_______,
133,___,http://pvp.qq.com/web201605/herodetail/133.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/133/133-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/133/133.jpg,____,____________________,_,_______,38.1793084,112.4008678,M,________,
132,____,http://pvp.qq.com/web201605/herodetail/132.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/132/132-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/132/132.jpg,____,___,_,_____,45.4044576,12.2416616,M,__________,
131,__,http://pvp.qq.com/web201605/herodetail/131.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/131/131-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/131/131.jpg,____,_________________________________________________________________________________________________________________,_,_______________,42.8042539,75.1961815,M,________,http://www.guoxue.com/?p=365
130,____,http://pvp.qq.com/web201605/herodetail/130.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/130/130-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/130/130.jpg,____,_____,____,______,34.8252841,133.5598891,M,_______,
129,__,http://pvp.qq.com/web201605/herodetail/129.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/129/129-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/129/129.jpg,____,____________________,__,____________,34.3077788,115.1838293,M,_____,
128,__,http://pvp.qq.com/web201605/herodetail/128.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/128/128-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/128/128.jpg,____,_____________,__,__________,33.864195,115.7836093,M,________,
127,__,http://pvp.qq.com/web201605/herodetail/127.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/127/127-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/127/127.jpg,____,______________,__,____________,38.1703993,114.8879094,F,_____,
126,___,http://pvp.qq.com/web201605/herodetail/126.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/126/126-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/126/126.jpg,____,_______________,__,__________,33.864195,115.7836093,M,_____,
124,__,http://pvp.qq.com/web201605/herodetail/124.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/124/124-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/124/124.jpg,____,______________,__,___________,31.2594761,117.0239076,M,_____,
123,__,http://pvp.qq.com/web201605/herodetail/123.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/123/123-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/123/123.jpg,____,___________________,__,___________,40.6372249,109.6417039,M,_____,
121,__,http://pvp.qq.com/web201605/herodetail/121.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/121/121-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/121/121.jpg,____,_________________________________,____,_____,34.3395589,108.6389907,F,_______,
120,__,http://pvp.qq.com/web201605/herodetail/120.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/120/120-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/120/120.jpg,____,_________________,____,_________,34.2686493,107.8388067,M,_______,
119,__,http://pvp.qq.com/web201605/herodetail/119.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/119/119-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/119/119.jpg,____,__________(_________)_,____,___________,38.7508035,116.049836,M,_________,
118,__,http://pvp.qq.com/web201605/herodetail/118.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/118/118-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/118/118.jpg,____,________________________________,____,____________________,35.839595,115.7844053,M,________,
117,___,http://pvp.qq.com/web201605/herodetail/117.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/117/117-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/117/117.jpg,____,___________,____,__________,35.9738235,116.2166884,F,_______,
116,__,http://pvp.qq.com/web201605/herodetail/116.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/116/116-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/116/116.jpg,____,_____________,____,___,39.4791451,115.8559378,F,____________,
115,___,http://pvp.qq.com/web201605/herodetail/115.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/115/115-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/115/115.jpg,____,________________,____,__,39.2833971,115.6472992,M,_______,
114,__,http://pvp.qq.com/web201605/herodetail/114.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/114/114-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/114/114.jpg,____,__,__,____,30.6584534,103.935464,M,_______,
113,__,http://pvp.qq.com/web201605/herodetail/113.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/113/113-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/113/113.jpg,____,___________________,____,___________,34.4130005,115.5775436,M,___________,
112,____,http://pvp.qq.com/web201605/herodetail/112.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/112/112-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/112/112.jpg,____,________________________á______Ò_______________Ó_______________________Ò___Ó___________________[5]_______Ò_________Ó____________________________[6]_,____,__,35.5961112,116.9888847,M,____________,
111,___,http://pvp.qq.com/web201605/herodetail/111.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/111/111-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/111/111.jpg,____,_,__,___________,29.970621,119.6515463,F,________,
110,__,http://pvp.qq.com/web201605/herodetail/110.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/110/110-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/110/110.jpg,____,________________,____,____,34.3849719,109.2722514,M,____,
109,__,http://pvp.qq.com/web201605/herodetail/109.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/109/109-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/109/109.jpg,____,__________________________________,__,____________,35.092915,113.524289,F,______,
108,__,http://pvp.qq.com/web201605/herodetail/108.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/108/108-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/108/108.jpg,____,_________[1]  ____d’_______________ [2-4]  ______[5]  ______[6]  _____________[7]  __________,____,__,34.4130005,115.5775436,M,__________,
107,__,http://pvp.qq.com/web201605/herodetail/107.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/107/107-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/107/107.jpg,____,______________,__,___________,38.2303317,114.4905485,M,_____,
106,__,http://pvp.qq.com/web201605/herodetail/106.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/106/106-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/106/106.jpg,____,____________,__,____________,30.7645252,116.2269744,F,_____,
105,__,http://pvp.qq.com/web201605/herodetail/105.shtml,game.gtimg.cn/images/yxzj/img201606/skin/hero-info/105/105-bigskin-1.jpg,http://game.gtimg.cn/images/yxzj/img201606/heroimg/105/105.jpg,____,_______________,____,___________,38.3110722,115.0213562,M,_______,
